prompt,answer,numeric_label
"premissa: Nosaltres, per exemple, no estem d'acord de ser la crossa del PSOE.
hipòtesi: No volem que el PSOE es recolzi en nosaltres.
etiqueta: implicació
----
premissa: Per una banda es cert que aqui no es reconeix el talent nacional i (entre l'alta burgesia del Liceu i Perelada encara menys).
hipòtesi: Tenim veritables talents en l'àmbit musical, especialment els darrers 20 anys.
etiqueta: neutre
----
premissa: Lluís Llach recrimina el paper dels comuns en la votació al parlament del 27 d’octubre
hipòtesi: Lluís Llach aplaudeix l'acció dels comuns
etiqueta: contradicció
----
premissa: L'ambientació de la novel·la es extraordinària+B951 els paisatges i els personatges són absolutament vius.
hipòtesi: Les descripcions de la novel·la són tan vívides que sembla que els paisatges i personatges siguin reals.
etiqueta:",implicació,0
"premissa: Van rebre la visita d'un altre centre i han anat treballant el pati com a espai de joc i aprenentatge.
hipòtesi: Pensen que en el pati també es poden adquirir coneixements.
etiqueta: implicació
----
premissa: Jordi Lara sacseja la Nit de Poesia de Sant Cugat
hipòtesi: Jordi Lara ha publicat un nou poemari a Sant Cugat
etiqueta: neutre
----
premissa: En Joan vivia al mig del camp, en el que havia estat un molí d'ençà el segle XII.
hipòtesi: El domicili del Joan era al centre de la ciutat, lluny de l'edificació que havia funcionat com a molí des del segle XII.
etiqueta: contradicció
----
premissa: Colau retira el bust de Juan Carlos I de la sala de plens
hipòtesi: A la sala de plens ja no hi ha el bust de Juan Carlos I
etiqueta:",implicació,0
"premissa: Els CDR convoquen una protesta davant la Llotja de Mar el 21-D contra el consell de ministres
hipòtesi: El 21-D hi haurà una concentració davant la Llotja de Mar
etiqueta: implicació
----
premissa: És inevitable que hi hagi alguna borratxera però com ocorre a qualsevol zona d'oci de l'estat.
hipòtesi: Hi ha gent que quan no té res a fer s'entrompa amb cervesa i vi.
etiqueta: neutre
----
premissa: El dalai lama afirma que el diàleg és l’única via possible perquè l’Índia i la Xina restableixin relacions
hipòtesi: El Dalai lama propugna la lluita armada com a solució entre la Xina i l'Índia
etiqueta: contradicció
----
premissa: Oltra diu al govern espanyol que si no veu la bandera d’Espanya en algun edifici és perquè la renten
hipòtesi: Oltra diu que les banderes espanyoles dels edificis catalans es renten
etiqueta:",implicació,0
"premissa: L’Espai LGTBI de Girona denuncia un atac feixista contra la seva seu
hipòtesi: Ultra dretans ataquen l'Espai LGTBI de Girona
etiqueta: implicació
----
premissa: El diari de Tavernes: El PP demana a la Diputació que solucioni l'abandonament dels camins rurals de Tavernes
hipòtesi: L'Àrea d'Urbanisme ha elaborat un catàleg de camins rurals.
etiqueta: neutre
----
premissa: Els Bombers reben entre les 19h i les 20h 66 incidències per culpa de la forta pluja
hipòtesi: La nevada va implicar 66 incidències per als Bombers, rebudes entre les 19 h i les 20 h.
etiqueta: contradicció
----
premissa: Joan Tafalla (Comunistes de Catalunya) desmunta l’atac de Cayo Lara a l’independentisme
hipòtesi: Cayo Lara envesteix públicament contra l'independentisme
etiqueta:",neutre,1
"premissa: En aquesta ocasió, compten amb els músics Agustín Balda i Steve Smyth, aquest últim compositor de les peces musicals i autor del text.
hipòtesi: També hi participa l'autor de la múscia i la lletra.
etiqueta: implicació
----
premissa: A continuació es mostra aquest fenomen en relació a la hipòtesi de reconstrucció del protoaustroasiàtic
hipòtesi: El protoaustroasiàtic és la reconstrucció de les llengües austroasiàtiques. 
etiqueta: neutre
----
premissa: Com vostè té a Mr Moguy, jo també tinc un advocat.
hipòtesi: Si vostè té Mr Moguy, jo també tinc un gos, el Bobby.
etiqueta: contradicció
----
premissa: A mi m'ensenyaven a llegir que encara no havia fet els tres anys, vaig nàixer al desembre i el curs començava a l'octubre.
hipòtesi: Com més aviat s'aprèn a llegir, millor.
etiqueta:",neutre,1
"premissa: Senda ofereix pràctiques d'un període mínim de 3 mesos.
hipòtesi: Les pràctiques de Senda s'han de dur a terme com a mínim durant 90 dies.
etiqueta: implicació
----
premissa: Es van crear col·lectivitats agràries sota el principi bàsic de """"De cadascú segons la seva capacitat, a cadascú segons la seva necessitat"""".
hipòtesi: A Girona van proliferar col·lectivitats agràries durant la Guerra Civil.
etiqueta: neutre
----
premissa: Aquest símbol de l'independentisme català serà visible a l'edifici fins al proper dimarts 11 de setembre, Diada...
hipòtesi: A l'edifici no lluirà cap motiu relacionat amb el moviment independentista català.
etiqueta: contradicció
----
premissa: El PSOE registra una moció de censura contra Mariano Rajoy
hipòtesi: Mariano Rajoy pot ser destituït del seu càrrec
etiqueta:",implicació,0
"premissa: El TC admet la impugnació del govern de Sánchez contra la reprovació de Felipe VI del parlament
hipòtesi: Felipe VI va ser reprovat pel parlament 
etiqueta: implicació
----
premissa: Pel que dedueixo, ets una persona jove, una mica més gran que jo, entre 50 o 60 anys.
hipòtesi: Hi ha gent jove que sembla gran.
etiqueta: neutre
----
premissa: Mira, sé que he estat un malparit, però no era el bon tipus de malparit, i aquesta vegada, sóc el bon tipus.
hipòtesi: He estat un malparit i ara encara ho soc més.
etiqueta: contradicció
----
premissa: Dels 11 partits en els quals participà Sebastián Viera, Uruguai guanyà 4 (36,4%), empatà 5 (45,4%) i perdé 2 (18,2%).
hipòtesi: Dels partits que va guanyar 3 van ser per una diferència de més de 3 gols. 
etiqueta:",neutre,1
"premissa: Si descrivim i compararem, els parlars de les dues poblacions esmentades, trobem un conjunt significatiu de trets morfològics, tenint en compte tres grups generacionals.
hipòtesi: Els trets morfològics observats en les dues poblacions es remunten, com a mínim, a tres generacions. 
etiqueta: implicació
----
premissa: Veu un nen que puja i baixa de la vorera amb els braços oberts com si fos una avioneta.
hipòtesi: L'objectiu és ampliar la vorera de la part muntanya.
etiqueta: neutre
----
premissa: Els 110 passatgers afectats hauran d'anar a peu fins a una carretera pròxima, on els espera un autobús
hipòtesi: Un autobús passarà a recollir els 110 passatgers afectats.
etiqueta: contradicció
----
premissa: Antonio és un gran xef, i us recomano que proveu el sopar al seu lloc.
hipòtesi: L'Antoni ha estat guardonat com a millor cuiner jove de Catalunya.
etiqueta:",neutre,1
"premissa: El doctor Josep Morata Socias i la professora Rosa M. Alberdi Castell demanen aclariments.
hipòtesi: Alguna cosa els resulta confusa, al doctor Josep Morata Socias i la professora Rosa M. Alberdi Castell.
etiqueta: implicació
----
premissa: Aquest règim transitori serà d'aplicació fins a l'aprovació definitiva d'una revisió del Pla especial de protecció del patrimoni arquitectònic de Sabadell.
hipòtesi: El patrimoni arquitectònic de Sabadell s'ha de mantenir per al futur de la ciutat.
etiqueta: neutre
----
premissa: Ribas ha demanat a Sanchis i Llorach que compareguin amb més temps per tractar aquesta qüestió.
hipòtesi: Torra ha demanat a Sanchis i Llorach que compareguin amb més temps per tractar aquesta qüestió.
etiqueta: contradicció
----
premissa: El 1995 va guanyar el ""Goya al millor curtmetratge de ficció"" per ""La madre"".
hipòtesi: ""La madre"" es va rodar originalment en euskara.
etiqueta:",neutre,1
"premissa: Això és el que passa quan la teva germana mor mentre es fica al llit del teu xicot.
hipòtesi: La teva germana ha perdut la vida.
etiqueta: implicació
----
premissa: El cap dels Givin recorda ràpidament la imatge d'una calavera, potser per això molts humans els troben repulsius.
hipòtesi: Els Gvin són unes criatures d'uns 1,8m d'alçada amb una pell blanca pàl·lida.
etiqueta: neutre
----
premissa: Sense pesta la Senyoria no tindrà por de I'amenaça d'una revolta.
hipòtesi: La Senyoria tem que la pesta fomenti una revolta.
etiqueta: contradicció
----
premissa: Va ser un dels primers que va combinar amb èxit els modismes de la música popular búlgara i la música clàssica.
hipòtesi: La tradició musical búlgara forma part de la música tradicional dels balcans. 
etiqueta:",neutre,1
"premissa: M'ha sabut molt greu però no hi he pogut fer res.
hipòtesi: He intentat fer-hi alguna cosa.
etiqueta: implicació
----
premissa: A les 11 del matí s'iniciarà el cros escolar esglaonant les sortides en funció de les categories.
hipòtesi: Les escoles es disputen el protagonisme.
etiqueta: neutre
----
premissa: Està clar que cal que ens hi esforcem, però crec que actualment, ens ha de preocupar sobretot l'ús.
hipòtesi: Els esforços són innecessaris.
etiqueta: contradicció
----
premissa: El ple de Vic aprova una declaració de suport a Joan Coma, el regidor investigat per sedició
hipòtesi: El ple de Vic dona l'esquena a Joan Coma
etiqueta:",contradicció,2
"premissa: Déu, cada cèl·lula del meu cos està cridant,
hipòtesi: Déu, tot jo soc un crit.
etiqueta: implicació
----
premissa: S'exclouen els fenòmens orogènics, de manera que les muntanyes no es tenen en compte.
hipòtesi: Els fenòmens orogènics es produeixen per desplaçaments de les plaques tectòniques.
etiqueta: neutre
----
premissa: Si a cada cantonada hi ha un messies i salvador de la pàtria és un PROBLEMA GREU de LiNDEPENDENTISME que NO sap sumar.
hipòtesi: L'independentisme té un problema: no sap sumar i, per això, té un únic messies i salvador de la pàtria.
etiqueta: contradicció
----
premissa: La Generalitat Valenciana convoca per al 2020 l’oferta pública d’ocupació més gran de Sanitat fins al moment
hipòtesi: L'oferta pública per a professionals sanitaris es farà el 2022
etiqueta:",contradicció,2
"premissa: També va exercir breument el comandament del VII Cos d'Exèrcit, al setembre de 1937.
hipòtesi: Durant la guerra civil va dirigir una de les unitats de l'exèrcit.
etiqueta: implicació
----
premissa: Espot situa la sostenibilitat, la igualtat efectiva i el desenvolupament inclusiu com a reptes del 2020
hipòtesi: Espot ha manifestat les seves preferències de treball en un document intern
etiqueta: neutre
----
premissa: La jutgessa desacredita la fiscalia i avala el permís de setanta-dues hores a Jordi Sànchez
hipòtesi: La jutgessa confirma la demanda de la fiscalia
etiqueta: contradicció
----
premissa: El 1999 va obtenir el rècord pel salt més alt des d'un edifici quan va saltar des de les Torres Petronas a Kuala Lumpur, Malàisia.
hipòtesi: El rècord aconseguit el 1999 va consistir a fer el salt més alt des d'una grua.
etiqueta:",contradicció,2
"premissa: Charif ha fet també una crida a la col·laboració davant una certa relaxació que es percep en la societat civil sobre l'ajuda que necessiten els refugiats.
hipòtesi: S'apropa l'hivern i els refugiats tindran més necessitats.
etiqueta: implicació
----
premissa: No ho sé, però tant de bo s'hi quedi.
hipòtesi: Han contemplat la possibilitat de quedar-s'hi.
etiqueta: neutre
----
premissa: Els escenaris que pinten els demògrafs per als propers anys estan oberts a com evolucioni la crisi.
hipòtesi: Els escenaris borsaris per als propers anys estan oberts a com evolucioni la crisi.
etiqueta: contradicció
----
premissa: Però l'altre dia llegint a la biblioteca vaig veure que estem molt equivocats!
hipòtesi: Un llibre de la biblioteca em va fer veure que estem en un error.
etiqueta:",implicació,0
"premissa: Turquia.- Erdogan assegura que no tolerarà ingerències d’Alemanya en qüestions internes del seu país
hipòtesi: Alemanya volia intervenir en afers interns turcs
etiqueta: implicació
----
premissa: A Sharm al-Sheikh tot és tranquil, però prendre precaucions no fa cap mal.
hipòtesi: Sharm al-Sheikh està situat al sud d'Egipte.
etiqueta: neutre
----
premissa: El Vilanova havia abaixat els braços i els tres punts, moltes setmanes després, viatjaven cap a la capital de la Garrotxa.
hipòtesi: El Vilanova es va endur els tres punts del partit contra l'equip olotí.
etiqueta: contradicció
----
premissa: Aquesta trajectòria es va veure truncada el 23-F, en ser un dels principals participants de l'intent de cop d'Estat.
hipòtesi: La seva participació a l'intent de cop d'Estat va tenir conseqüències.
etiqueta:",implicació,0
"premissa: I aleshores em va adoptar una família que em va dur als USA.
hipòtesi: Soc adoptat.
etiqueta: implicació
----
premissa: El conflicte del Banc Expropiat de Gràcia continua encallat, una setmana després
hipòtesi: L'empresa propietària del Banc Expropiat de Gràcia es nega a negociar amb l'administració 
etiqueta: neutre
----
premissa: Això li portà grans èxits, però la seva mort el 1945 volia dir que els seus rivals el superarien en l'elecció de la guerra de maniobra.
hipòtesi: Aquest és l'origen dels seus grans fracassos.
etiqueta: contradicció
----
premissa: El viatge de l’Apol·lo 13 a la Lluna en una recreació en 4K com no l’havíeu vist mai
hipòtesi: La primera vegada que veureu el viatge d'aquesta manera
etiqueta:",implicació,0
"premissa: S'entendrà que les comissions d'escolarització no acaben la seva actuació abans del període ordinari de matriculació.
hipòtesi: Abans de la matriculació escolar és quan fan la seva tasca les comissions d'escolarització.
etiqueta: implicació
----
premissa: Un col·lectiu de mossos afirma que els seus caps van permetre la infiltració de policies espanyols en la manifestació davant el parlament
hipòtesi: Els policies espanyols anaven vestits de paisà en la manifestació
etiqueta: neutre
----
premissa: Defensen la foscor de l'amenaça prehistòrica del sol... des del temps en què no hi havia diferència entre el bé i el mal.
hipòtesi: Defensen la foscor de les tardes d'hivern.
etiqueta: contradicció
----
premissa: La Generalitat contradiu la fiscalia anticorrupció i acusa Camps per la fórmula 1
hipòtesi: La Generalitat creu que Camps és culpable
etiqueta:",implicació,0
